id,Strength
5407,50.777590973643136
5408,19.832437535728122
5409,34.84336107760698
5410,46.259641599493975
5411,31.234064961464128
5412,41.16199954745787
5413,32.541679157290204
5414,22.30957854548207
5415,47.05588484338711
5416,38.15388047590054
5417,44.370787424865405
5418,53.9293736545255
5419,42.381514004279005
5420,45.666707646774356
5421,33.3863536861958
5422,43.4061714724457
5423,50.7329172798803
5424,47.068190143736494
5425,38.721496180058594
5426,50.578244744099024
5427,34.13982303224795
5428,36.33746903025329
5429,30.905313744707428
5430,25.98559725431206
5431,20.17356348962017
5432,48.50031700563243
5433,22.553124741477884
5434,39.60668775406163
5435,39.93426071575297
5436,36.39379982696393
5437,40.466246441413446
5438,30.218565227908275
5439,47.60481419195718
5440,36.29645464618007
5441,18.02893488182676
5442,40.77892954477388
5443,36.195340281047024
5444,37.97119706993743
5445,19.184076787570422
5446,42.69536215165862
5447,40.854188100297506
5448,35.903623493975346
5449,51.289504656167985
5450,40.334288759846046
5451,49.44503900321482
5452,22.17777330144564
5453,34.16174213787562
5454,36.39709862575032
5455,40.02687186542232
5456,36.39709862575032
5457,20.305321430326536
5458,36.41899705474556
5459,26.183848956231706
5460,31.610095492073366
5461,26.02053834985007
5462,23.292718971048
5463,37.238654543251165
5464,35.92746886110745
5465,49.80603661683019
5466,43.34679957782039
5467,40.967192449655776
5468,30.239716332735917
5469,37.751923054354364
5470,34.27460102783239
5471,33.29942518123984
5472,33.00251934006625
5473,25.48756735856882
5474,48.78162742452163
5475,19.353009538217602
5476,47.99733051175907
5477,45.66940420969157
5478,38.11389617171895
5479,18.62770864564513
5480,39.66636039040152
5481,39.18667608595164
5482,36.43123264176451
5483,33.034688171595384
5484,40.1995107642616
5485,43.99458310031763
5486,48.978595672463015
5487,41.5983929680782
5488,39.007767339314285
5489,48.49802387750673
5490,40.29916272810215
5491,38.8683663816733
5492,48.50440523018627
5493,34.00383490834005
5494,40.28575054062817
5495,25.21017021962535
5496,38.084765792220026
5497,39.35811323402687
5498,37.785265422568365
5499,48.53940670592829
5500,37.336944819666776
5501,27.851245648078965
5502,39.66636039040152
5503,36.110421343879
5504,52.058568409836894
5505,37.39037069553044
5506,40.70634655738056
5507,41.68378801351389
5508,34.79964513888225
5509,35.09597985204517
5510,47.29559652839575
5511,41.2191921436433
5512,18.898173756089744
5513,46.307675704227435
5514,32.98789329011892
5515,40.01741115525346
5516,51.289504656167985
5517,36.02986932248485
5518,40.967192449655776
5519,18.763395760505308
5520,48.50031700563243
5521,39.66636039040152
5522,30.32295871772118
5523,39.18652809650222
5524,32.98789329011892
5525,33.86013478228057
5526,33.17508447533897
5527,35.26347139318997
5528,26.806240043148048
5529,50.845896897774416
5530,39.956254198512354
5531,47.66832109617435
5532,56.11862973091547
5533,26.633094737182045
5534,45.656316309746
5535,30.390988103643586
5536,49.81883002629359
5537,33.282908647583135
5538,46.0993941615651
5539,18.5532391742129
5540,39.46410545751025
5541,41.680991127577784
5542,18.447609601050694
5543,52.98196814467388
5544,19.585477568900615
5545,37.61661349475345
5546,43.436839115405945
5547,31.92354701274644
5548,31.071001248279902
5549,29.507100222287722
5550,36.88436123526953
5551,34.57056923381948
5552,34.347899354993224
5553,36.397915703626325
5554,31.877059697293834
5555,46.22638421930777
5556,35.92746886110745
5557,42.69536215165862
5558,19.499490709552532
5559,48.978595672463015
5560,36.850593778246974
5561,34.57056923381948
5562,47.84910129190675
5563,36.39379982696393
5564,39.10741930315483
5565,43.098899552515455
5566,30.437526969428745
